Address,Town,Mature,Lease Commence Date,Floor Area Map,Lat,Long,Nearest_MRT,Distance_to_MRT,Nearest_Mall,Distance_to_Mall
1 BEACH RD,KALLANG/WHAMPOA,1,1979,"{'3 ROOM': 68.0, '5 ROOM': 153.0}",1.3036713506088,103.864478660925,Nicoll Highway MRT,0.444,Aperia Mall,0.802
1 BEDOK STH AVE 1,BEDOK,1,1976,"{'3 ROOM': 59.0, '5 ROOM': 136.0}",1.32085208689731,103.933721091441,Bedok MRT,0.542,Bedok Mall,0.658
1 CHAI CHEE RD,BEDOK,1,1983,"{'4 ROOM': 103.0, '5 ROOM': 133.0}",1.32796879176302,103.922716018139,Bedok North MRT,0.919,Bedok Mall,0.811
1 CHANGI VILLAGE RD,PASIR RIS,1,1980,{'3 ROOM': 66.0},1.38854656229022,103.987804503483,Pasir Ris MRT,4.616,Downtown East,3.844
1 DELTA AVE,BUKIT MERAH,1,1983,{'5 ROOM': 119.0},1.2920752508431,103.828584077626,Great World MRT,0.608,Valley Point,0.201
1 DOVER RD,QUEENSTOWN,1,1975,{'3 ROOM': 65.0},1.3025299473495,103.783271662459,one-north MRT,0.558,The Star Vista,0.756
1 EVERTON PK,BUKIT MERAH,1,1980,"{'3 ROOM': 72.0, '5 ROOM': 138.0}",1.27742654288695,103.840001188095,Outram Park MRT,0.313,100 AM,0.498
1 GHIM MOH RD,QUEENSTOWN,1,1976,"{'3 ROOM': 65.0, '5 ROOM': 130.0}",1.31287975684307,103.786855017635,Buona Vista MRT,0.832,The Star Vista,0.68
1 HAIG RD,GEYLANG,1,1982,{'3 ROOM': 59.0},1.31129091152627,103.897703432652,Paya Lebar MRT,0.897,Kinex,0.496
1 HOUGANG AVE 3,HOUGANG,0,1975,"{'3 ROOM': 59.0, '5 ROOM': 118.0}",1.36413097349222,103.89300132385,Hougang MRT,0.695,Hougang Mall,0.934
1 JLN BT MERAH,BUKIT MERAH,1,1983,{'3 ROOM': 64.0},1.28645354030174,103.808242400418,Queenstown MRT,0.932,Anchorpoint,0.432
1 KG KAYU RD,KALLANG/WHAMPOA,1,1984,{'3 ROOM': 62.0},1.30355769675629,103.883796413118,Mountbatten MRT,0.301,Kallang Wave Mall,1.185
1 LOR 7 TOA PAYOH,TOA PAYOH,1,1969,{'3 ROOM': 67.0},1.33943033543358,103.853442790992,Braddell MRT,0.747,Junction 8,1.335
1 LOR LEW LIAN,SERANGOON,1,1978,{'3 ROOM': 64.0},1.35086712646948,103.875343939672,Serangoon MRT,0.287,NEX,0.339
1 MARINE TER,MARINE PARADE,1,1975,{'5 ROOM': 120.0},1.30482902187779,103.918614976369,Marine Terrace MRT,0.44,i12 Katong,1.509
1 MARSILING DR,WOODLANDS,0,1974,"{'3 ROOM': 65.0, '5 ROOM': 151.0}",1.44067109860246,103.775739945213,Marsiling MRT,0.925,Causeway Point,1.221
1 PINE CL,GEYLANG,1,2000,"{'4 ROOM': 95.0, '5 ROOM': 110.0}",1.30787056219408,103.883192164927,Mountbatten MRT,0.192,Kallang Wave Mall,1.237
1 QUEEN'S RD,BUKIT TIMAH,1,1974,{'5 ROOM': 123.0},1.31726629524359,103.806782877524,Farrer Road MRT,0.069,The Star Vista,2.34
1 ST. GEORGE'S RD,KALLANG/WHAMPOA,1,1976,{'4 ROOM': 82.0},1.32340263694069,103.86163080083,Boon Keng MRT,0.388,The Poiz Centre,1.16
1 TECK WHYE AVE,CHOA CHU KANG,0,1984,"{'3 ROOM': 74.0, '4 ROOM': 103.0, 'EXECUTIVE': 148.0}",1.38253882861956,103.751710905678,Choa Chu Kang MRT,0.904,Lot One,0.773
1 TELOK BLANGAH CRES,BUKIT MERAH,1,1983,{'3 ROOM': 66.0},1.27945660077329,103.817897561986,Redhill MRT,1.139,Tiong Bahru Plaza,1.278
1 TG PAGAR PLAZA,CENTRAL AREA,0,1977,{'3 ROOM': 59.0},1.27568847511494,103.842433449984,Tanjong Pagar MRT,0.379,100 AM,0.168
1 TOH YI DR,BUKIT TIMAH,1,1988,"{'4 ROOM': 104.0, '5 ROOM': 122.0}",1.33958155877064,103.774586318946,Beauty World MRT,0.195,Kap Mall,0.6
10 CHAI CHEE RD,BEDOK,1,2001,"{'4 ROOM': 90.0, '5 ROOM': 120.0}",1.32727572366021,103.924803599281,Bedok MRT,0.683,Bedok Mall,0.57
10 EUNOS CRES,GEYLANG,1,1978,{'4 ROOM': 91.0},1.32228655863065,103.902720513959,Eunos MRT,0.284,Singpost Centre,0.944
10 GLOUCESTER RD,KALLANG/WHAMPOA,1,1976,"{'3 ROOM': 67.0, '4 ROOM': 92.0, '5 ROOM': 134.0}",1.31391658721965,103.852209769739,Farrer Park MRT,0.296,City Square Mall,0.564
10 HAIG RD,GEYLANG,1,1976,{'3 ROOM': 65.0},1.31483950176268,103.895865169739,Paya Lebar MRT,0.482,Kinex,0.128
10 HOLLAND AVE,QUEENSTOWN,1,1975,{'4 ROOM': 88.0},1.30814997104791,103.794275184926,Buona Vista MRT,0.482,The Star Vista,0.664
10 JLN BATU,KALLANG/WHAMPOA,1,1986,"{'4 ROOM': 105.0, '5 ROOM': 131.0, 'EXECUTIVE': 141.0}",1.30204488252463,103.882887148325,Mountbatten MRT,0.457,Kallang Wave Mall,1.089
10 JLN BT HO SWEE,BUKIT MERAH,1,1971,{'2 ROOM': 34.0},1.28745837020188,103.832675765986,Havelock MRT,0.154,Tiong Bahru Plaza,0.639
10 JLN KUKOH,CENTRAL AREA,0,1971,"{'2 ROOM': 53.0, '3 ROOM': 76.0, '4 ROOM': 107.0}",1.2869738344398,103.839075823483,Chinatown MRT,0.562,Robertson Walk,0.61
10 JLN RUMAH TINGGI,BUKIT MERAH,1,1988,{'3 ROOM': 67.0},1.28820018880462,103.808369387433,Queenstown MRT,0.751,Anchorpoint,0.376
10 JOO SENG RD,TOA PAYOH,1,1983,{'5 ROOM': 119.0},1.33461833377097,103.88016502252,Bartley MRT,0.87,The Woodleigh Mall,1.049
10 LOR 7 TOA PAYOH,TOA PAYOH,1,1998,"{'4 ROOM': 104.0, '5 ROOM': 120.0}",1.33716527577081,103.857228807914,Toa Payoh MRT,1.193,The Poiz Centre,1.374
10 MARSILING DR,WOODLANDS,0,1976,{'5 ROOM': 126.0},1.44080567418718,103.777318569996,Marsiling MRT,0.989,Causeway Point,1.073
10 PINE CL,GEYLANG,1,1981,"{'3 ROOM': 68.0, '4 ROOM': 93.0}",1.30915239429834,103.882242524292,Mountbatten MRT,0.345,Kallang Wave Mall,1.216
10 SELEGIE RD,CENTRAL AREA,0,1974,{'3 ROOM': 56.0},1.30370879401395,103.850537238747,Rochor MRT,0.249,The Cathay,0.584
10 ST. GEORGE'S RD,KALLANG/WHAMPOA,1,1985,{'4 ROOM': 104.0},1.32374648815059,103.863412150847,Boon Keng MRT,0.449,The Poiz Centre,1.014
10 TECK WHYE AVE,CHOA CHU KANG,0,1978,"{'3 ROOM': 67.0, '4 ROOM': 92.0}",1.38047054647235,103.755211077169,Bukit Panjang MRT,0.672,Junction 10,0.551
10 TELOK BLANGAH CRES,BUKIT MERAH,1,1975,{'3 ROOM': 59.0},1.27773153190559,103.819769431353,Tiong Bahru MRT,1.238,Tiong Bahru Plaza,1.261
10 TOH YI DR,BUKIT TIMAH,1,1989,{'EXECUTIVE': 146.0},1.33753956576433,103.773161066389,Beauty World MRT,0.472,Kap Mall,0.687
100 BEDOK NTH AVE 4,BEDOK,1,1978,"{'3 ROOM': 67.0, '4 ROOM': 92.0}",1.33413899974038,103.938389713003,Bedok Reservoir MRT,0.737,East Village,0.907
100 C'WEALTH CRES,QUEENSTOWN,1,1970,"{'2 ROOM': 47.0, '3 ROOM': 59.0}",1.30770527644458,103.801272476263,Commonwealth MRT,0.67,The Star Vista,1.431
100 LOR 1 TOA PAYOH,TOA PAYOH,1,1970,{'3 ROOM': 68.0},1.33956400517882,103.848585713817,Braddell MRT,0.212,Junction 8,1.214
100 WHAMPOA DR,KALLANG/WHAMPOA,1,1974,{'4 ROOM': 91.0},1.32077947735201,103.854348739922,Farrer Park MRT,0.851,City Square Mall,1.071
101 AH HOOD RD,KALLANG/WHAMPOA,1,1981,{'5 ROOM': 118.0},1.32739678972464,103.84448102202,Toa Payoh MRT,0.672,Square 2,0.745
101 ALJUNIED CRES,GEYLANG,1,1978,"{'3 ROOM': 67.0, '4 ROOM': 92.0}",1.32092275330579,103.883351967045,Aljunied MRT,0.502,Paya Lebar Square,1.052
101 ANG MO KIO AVE 3,ANG MO KIO,1,1978,"{'4 ROOM': 89.0, '5 ROOM': 117.0}",1.37026158388486,103.839467898898,Mayflower MRT,0.349,Jubilee Square,0.946
101 BEDOK NTH AVE 4,BEDOK,1,1978,{'2 ROOM': 45.0},1.334484667124,103.937924710969,Bedok Reservoir MRT,0.675,East Village,0.968
101 BEDOK RESERVOIR RD,BEDOK,1,1985,"{'4 ROOM': 98.0, '5 ROOM': 121.0}",1.32844913301985,103.909937396599,Kaki Bukit MRT,0.743,Singpost Centre,1.975
101 BISHAN ST 12,BISHAN,1,1987,"{'5 ROOM': 121.0, 'EXECUTIVE': 163.0}",1.34485915828152,103.848400765185,Braddell MRT,0.559,Junction 8,0.626
101 BT BATOK WEST AVE 6,BUKIT BATOK,0,1985,"{'4 ROOM': 104.0, '5 ROOM': 134.0}",1.34670636093149,103.746920663038,Bukit Batok MRT,0.392,West Mall,0.455
101 BT PURMEI RD,BUKIT MERAH,1,1983,"{'3 ROOM': 69.0, '4 ROOM': 93.0}",1.27146256556443,103.825683545567,HarbourFront MRT,0.89,VivoCity,0.881
101 C'WEALTH CRES,QUEENSTOWN,1,1970,"{'2 ROOM': 43.0, '3 ROOM': 55.0}",1.30805159231327,103.800842814413,Holland Village MRT,0.679,The Star Vista,1.386
101 CLEMENTI ST 14,CLEMENTI,1,1984,"{'4 ROOM': 98.0, '5 ROOM': 121.0}",1.32208936757694,103.76893341249,Clementi MRT,0.88,The Clementi Mall,0.944
101 GANGSA RD,BUKIT PANJANG,0,1987,{'EXECUTIVE': 144.0},1.37916431633637,103.767439286222,Bukit Panjang MRT,0.696,Bukit Panjang Plaza,0.353
101 HENDERSON CRES,BUKIT MERAH,1,1970,{'4 ROOM': 74.0},1.29071799751539,103.821625207737,Redhill MRT,0.556,Valley Point,0.66
101 HOUGANG AVE 1,HOUGANG,0,1984,{'4 ROOM': 103.0},1.35493747800562,103.891360573947,Kovan MRT,0.942,Heartland Mall Kovan,0.858
101 JLN RAJAH,KALLANG/WHAMPOA,1,1980,{'4 ROOM': 94.0},1.32871478392959,103.850545321033,Toa Payoh MRT,0.551,Square 2,1.139
101 JURONG EAST ST 13,JURONG EAST,0,1983,"{'3 ROOM': 68.0, '4 ROOM': 95.0, '5 ROOM': 136.0}",1.33701100762294,103.738787314099,Jurong East MRT,0.579,JCube,0.435
101 LENGKONG TIGA,BEDOK,1,1988,{'EXECUTIVE': 145.0},1.32515983382087,103.910888819332,Kembangan MRT,0.512,Singpost Centre,1.905
101 PASIR RIS ST 12,PASIR RIS,1,1988,{'EXECUTIVE': 146.0},1.36705021516612,103.958181857039,Pasir Ris MRT,1.193,White Sands,0.337
101 POTONG PASIR AVE 1,TOA PAYOH,1,1984,{'3 ROOM': 74.0},1.33315710123237,103.868380398922,Potong Pasir MRT,0.226,The Poiz Centre,0.186
101 RIVERVALE WALK,SENGKANG,0,1999,"{'4 ROOM': 101.0, '5 ROOM': 120.0}",1.38276428893595,103.899272035914,Buangkok MRT,0.699,Compass One,1.134
101 SERANGOON NTH AVE 1,SERANGOON,1,1985,{'4 ROOM': 91.0},1.37103631988089,103.870360910842,Kovan MRT,2.0,Hougang 1,1.139
101 SIMEI ST 1,TAMPINES,1,1988,"{'4 ROOM': 104.0, '5 ROOM': 128.0}",1.34084991073361,103.951433717517,Simei MRT,0.339,Eastpoint Mall,0.272
101 TAMPINES ST 11,TAMPINES,1,1982,"{'3 ROOM': 75.0, '4 ROOM': 105.0}",1.34739870794535,103.945292359327,Tampines MRT,0.657,Tampines Mall,0.574
101 TECK WHYE LANE,CHOA CHU KANG,0,1989,{'EXECUTIVE': 142.0},1.37788964623982,103.754239909547,Bukit Panjang MRT,0.795,Junction 10,0.713
101 TOWNER RD,KALLANG/WHAMPOA,1,1983,{'3 ROOM': 74.0},1.31942539040726,103.861087462608,Boon Keng MRT,0.122,Aperia Mall,1.003
101 WHAMPOA DR,KALLANG/WHAMPOA,1,1974,{'4 ROOM': 91.0},1.32041710187602,103.853813946402,Farrer Park MRT,0.816,City Square Mall,1.048
101 WOODLANDS ST 13,WOODLANDS,0,1985,"{'3 ROOM': 67.0, '4 ROOM': 91.0}",1.43598268540185,103.781932747463,Woodlands MRT,0.469,Causeway Point,0.418
101 YISHUN AVE 5,YISHUN,0,1978,"{'3 ROOM': 68.0, '4 ROOM': 90.0}",1.4305357538408,103.827667722074,Yishun MRT,0.825,Northpoint City,0.971
101A BIDADARI PK DR,TOA PAYOH,1,2021,"{'3 ROOM': 68.0, '4 ROOM': 93.0}",1.33685462167621,103.870996313693,Woodleigh MRT,0.331,The Woodleigh Mall,0.222
101A CANBERRA ST,SEMBAWANG,0,2020,"{'4 ROOM': 93.0, '5 ROOM': 113.0}",1.45173892803325,103.83045410628,Canberra MRT,0.967,Sun Plaza,1.28
101A LOR 2 TOA PAYOH,TOA PAYOH,1,1993,{'EXECUTIVE': 145.0},1.33974126719163,103.847264187382,Braddell MRT,0.069,Junction 8,1.206
101A PUNGGOL FIELD,PUNGGOL,0,2002,"{'4 ROOM': 90.0, '5 ROOM': 110.0}",1.3979461677694,103.905945136259,Punggol MRT,0.851,Rivervale Mall,0.66
101B CANBERRA ST,SEMBAWANG,0,2020,"{'2 ROOM': 47.0, '3 ROOM': 69.0, '4 ROOM': 93.0}",1.45166310353079,103.831174909166,Canberra MRT,0.969,Sun Plaza,1.354
101B LOR 2 TOA PAYOH,TOA PAYOH,1,1993,{'EXECUTIVE': 144.0},1.33959884500115,103.847605414427,Braddell MRT,0.11,Junction 8,1.217
101B PUNGGOL FIELD,PUNGGOL,0,2002,{'5 ROOM': 109.0},1.39784715104396,103.906436071245,Punggol MRT,0.889,Rivervale Mall,0.665
101C PUNGGOL FIELD,PUNGGOL,0,2002,{'5 ROOM': 109.0},1.39809045787162,103.906569305679,Punggol MRT,0.875,Rivervale Mall,0.695
101D PUNGGOL FIELD,PUNGGOL,0,2002,"{'4 ROOM': 90.0, '5 ROOM': 110.0}",1.39848478483582,103.90614388692,Punggol MRT,0.812,Rivervale Mall,0.723
102 ALJUNIED CRES,GEYLANG,1,1978,"{'3 ROOM': 67.0, '4 ROOM': 92.0}",1.3204390302197,103.882420433245,Aljunied MRT,0.449,Paya Lebar Square,1.144
102 ANG MO KIO AVE 3,ANG MO KIO,1,1993,"{'4 ROOM': 106.0, '5 ROOM': 127.0}",1.37065009249377,103.839410348811,Mayflower MRT,0.329,Jubilee Square,0.945
102 BEDOK NTH AVE 4,BEDOK,1,1977,"{'3 ROOM': 67.0, '4 ROOM': 91.0}",1.33390654765002,103.937458398204,Bedok Reservoir MRT,0.654,East Village,1.0
102 BEDOK RESERVOIR RD,BEDOK,1,1985,"{'3 ROOM': 67.0, '4 ROOM': 96.0}",1.32849187727623,103.90926515578,Kaki Bukit MRT,0.726,Singpost Centre,1.915
102 BISHAN ST 12,BISHAN,1,1987,"{'5 ROOM': 121.0, 'EXECUTIVE': 150.0}",1.3451431233477,103.847990805259,Braddell MRT,0.577,Junction 8,0.6
102 BT BATOK WEST AVE 6,BUKIT BATOK,0,1985,"{'4 ROOM': 104.0, '5 ROOM': 150.0}",1.34745833930547,103.747473341114,Bukit Batok MRT,0.291,West Mall,0.351
102 BT PURMEI RD,BUKIT MERAH,1,1984,"{'3 ROOM': 73.0, '4 ROOM': 108.0}",1.27190842334423,103.826671653892,HarbourFront MRT,1.0,VivoCity,0.976
102 C'WEALTH CRES,QUEENSTOWN,1,1970,"{'2 ROOM': 43.0, '3 ROOM': 55.0, '4 ROOM': 118.0}",1.30782464878023,103.800629787177,Commonwealth MRT,0.649,The Star Vista,1.361
102 CLEMENTI ST 14,CLEMENTI,1,1984,{'EXECUTIVE': 155.0},1.32228557225905,103.769201884359,Clementi MRT,0.913,The Clementi Mall,0.978
102 GANGSA RD,BUKIT PANJANG,0,1988,"{'3 ROOM': 73.0, '4 ROOM': 103.0}",1.37910762831305,103.768153816778,Bukit Panjang MRT,0.776,Bukit Panjang Plaza,0.432
102 HENDERSON CRES,BUKIT MERAH,1,1970,{'4 ROOM': 80.0},1.290366187147,103.82157708445,Redhill MRT,0.544,Valley Point,0.681
102 HOUGANG AVE 1,HOUGANG,0,1984,"{'3 ROOM': 77.0, '4 ROOM': 102.0}",1.35496446293882,103.890855054687,Kovan MRT,0.895,Heartland Mall Kovan,0.812
102 JLN DUSUN,KALLANG/WHAMPOA,1,1981,{'5 ROOM': 118.0},1.3278687431847,103.844209602863,Toa Payoh MRT,0.644,Square 2,0.797
102 JLN RAJAH,KALLANG/WHAMPOA,1,1981,{'4 ROOM': 94.0},1.32822306444761,103.851519753845,Toa Payoh MRT,0.663,Square 2,1.17
102 JURONG EAST ST 13,JURONG EAST,0,1982,{'3 ROOM': 68.0},1.33609657873553,103.738219191663,Jurong East MRT,0.558,JCube,0.375
102 LENGKONG TIGA,BEDOK,1,1989,"{'4 ROOM': 104.0, '5 ROOM': 129.0}",1.32557930714658,103.91065754789,Kembangan MRT,0.566,Singpost Centre,1.899
102 PASIR RIS ST 12,PASIR RIS,1,1988,"{'4 ROOM': 104.0, '5 ROOM': 122.0}",1.36748427336516,103.958041055125,Pasir Ris MRT,1.153,White Sands,0.375
102 POTONG PASIR AVE 1,TOA PAYOH,1,1984,"{'3 ROOM': 74.0, '4 ROOM': 104.0}",1.3336901273759,103.868810587506,Potong Pasir MRT,0.264,The Poiz Centre,0.253
102 RIVERVALE WALK,SENGKANG,0,1999,{'EXECUTIVE': 142.0},1.38180761026047,103.900893229708,Buangkok MRT,0.897,Rivervale Mall,1.222
102 SERANGOON NTH AVE 1,SERANGOON,1,1984,"{'3 ROOM': 76.0, '4 ROOM': 98.0}",1.37084327297737,103.871153606719,Kovan MRT,1.918,Hougang 1,1.072
102 SIMEI ST 1,TAMPINES,1,1988,"{'4 ROOM': 104.0, '5 ROOM': 122.0}",1.34134724976252,103.951355074928,Simei MRT,0.305,Eastpoint Mall,0.239
102 TAMPINES ST 11,TAMPINES,1,1983,"{'3 ROOM': 75.0, '4 ROOM': 104.0}",1.34671616267656,103.945521388285,Tampines MRT,0.733,Tampines Mall,0.653
102 TECK WHYE LANE,CHOA CHU KANG,0,1989,"{'4 ROOM': 104.0, '5 ROOM': 121.0}",1.377082841385,103.754394432037,Bukit Panjang MRT,0.804,Junction 10,0.737
102 TOWNER RD,KALLANG/WHAMPOA,1,1984,{'3 ROOM': 74.0},1.32058609456907,103.862002015145,Boon Keng MRT,0.072,Aperia Mall,1.102
102 WOODLANDS ST 13,WOODLANDS,0,1985,"{'3 ROOM': 67.0, '4 ROOM': 92.0}",1.43608294925148,103.781199565987,Woodlands MRT,0.547,Causeway Point,0.499
102A BIDADARI PK DR,TOA PAYOH,1,2021,{'4 ROOM': 93.0},1.33735590005967,103.871390657454,Woodleigh MRT,0.279,The Woodleigh Mall,0.156
102A CANBERRA ST,SEMBAWANG,0,2020,"{'4 ROOM': 93.0, '5 ROOM': 116.0}",1.45119390519494,103.832227554636,Canberra MRT,0.945,Sun Plaza,1.453
102A PUNGGOL FIELD,PUNGGOL,0,2002,"{'4 ROOM': 90.0, '5 ROOM': 110.0}",1.39883318313425,103.905783553043,Punggol MRT,0.757,Rivervale Mall,0.752
102B BIDADARI PK DR,TOA PAYOH,1,2021,"{'3 ROOM': 68.0, '4 ROOM': 93.0}",1.33622045424375,103.871847066518,Woodleigh MRT,0.413,The Woodleigh Mall,0.28
102B CANBERRA ST,SEMBAWANG,0,2020,"{'2 ROOM': 47.0, '3 ROOM': 69.0}",1.45123970424367,103.83143636512,Canberra MRT,0.928,Sun Plaza,1.369
102B PUNGGOL FIELD,PUNGGOL,0,2002,{'5 ROOM': 110.0},1.39908525778671,103.905471407838,Punggol MRT,0.715,Rivervale Mall,0.774
102C PUNGGOL FIELD,PUNGGOL,0,2002,{'5 ROOM': 110.0},1.39876127750607,103.90493897318,Punggol MRT,0.718,Rivervale Mall,0.732
102D PUNGGOL FIELD,PUNGGOL,0,2002,"{'4 ROOM': 90.0, '5 ROOM': 110.0}",1.39848070795436,103.905249752459,Punggol MRT,0.761,Rivervale Mall,0.704
103 AH HOOD RD,KALLANG/WHAMPOA,1,1981,{'5 ROOM': 118.0},1.32796267483785,103.844826964123,Toa Payoh MRT,0.598,Square 2,0.81
103 ANG MO KIO AVE 3,ANG MO KIO,1,1978,"{'3 ROOM': 74.0, '4 ROOM': 99.0}",1.37101657804604,103.839304839187,Mayflower MRT,0.308,Jubilee Square,0.952
103 BEDOK NTH AVE 4,BEDOK,1,1977,"{'3 ROOM': 67.0, '4 ROOM': 91.0}",1.33348258777759,103.937542520091,Bedok Reservoir MRT,0.685,East Village,0.981
103 BEDOK RESERVOIR RD,BEDOK,1,1985,"{'3 ROOM': 67.0, '4 ROOM': 91.0}",1.32877022232019,103.909381354431,Kaki Bukit MRT,0.697,Singpost Centre,1.943
103 BISHAN ST 12,BISHAN,1,1986,"{'5 ROOM': 121.0, 'EXECUTIVE': 150.0}",1.34551249132105,103.848314162387,Braddell MRT,0.626,Junction 8,0.555
103 BT BATOK CTRL,BUKIT BATOK,0,1985,"{'3 ROOM': 77.0, '4 ROOM': 103.0, '5 ROOM': 133.0}",1.34822368204242,103.748034526478,Bukit Batok MRT,0.193,West Mall,0.246
103 BT PURMEI RD,BUKIT MERAH,1,1982,"{'3 ROOM': 67.0, '4 ROOM': 93.0}",1.27208558524996,103.825495615402,HarbourFront MRT,0.932,VivoCity,0.936
103 CLEMENTI ST 14,CLEMENTI,1,1984,"{'4 ROOM': 98.0, '5 ROOM': 121.0}",1.32258854750628,103.769176205799,Clementi MRT,0.942,The Clementi Mall,1.005
103 GANGSA RD,BUKIT PANJANG,0,1988,{'3 ROOM': 64.0},1.37867070821171,103.768538440957,Bukit Panjang MRT,0.823,Bukit Panjang Plaza,0.485
103 HENDERSON CRES,BUKIT MERAH,1,1970,{'4 ROOM': 74.0},1.28974209684545,103.821375681569,Redhill MRT,0.515,Tiong Bahru Plaza,0.725
103 HOUGANG AVE 1,HOUGANG,0,1983,"{'4 ROOM': 108.0, '5 ROOM': 131.0}",1.35528223434405,103.89036014824,Kovan MRT,0.83,Heartland Mall Kovan,0.747
103 JLN RAJAH,KALLANG/WHAMPOA,1,1984,"{'4 ROOM': 103.0, '5 ROOM': 135.0}",1.32734143333539,103.852780650365,Toa Payoh MRT,0.831,Square 2,1.209
103 JURONG EAST ST 13,JURONG EAST,0,1982,{'5 ROOM': 120.0},1.33668715015786,103.738059200285,Jurong East MRT,0.613,JCube,0.439
103 LENGKONG TIGA,BEDOK,1,1989,"{'4 ROOM': 104.0, '5 ROOM': 125.0}",1.32585546338587,103.910598910975,Kembangan MRT,0.596,Singpost Centre,1.905
103 PASIR RIS ST 12,PASIR RIS,1,1989,"{'4 ROOM': 103.0, '5 ROOM': 122.0}",1.36769508123853,103.958404209993,Pasir Ris MRT,1.175,White Sands,0.356
103 POTONG PASIR AVE 1,TOA PAYOH,1,1984,{'3 ROOM': 74.0},1.33411338676706,103.86952371664,Potong Pasir MRT,0.305,The Poiz Centre,0.325
103 RIVERVALE WALK,SENGKANG,0,1999,{'EXECUTIVE': 145.0},1.38291146712108,103.901208583313,Buangkok MRT,0.911,Rivervale Mall,1.094
103 SERANGOON NTH AVE 1,SERANGOON,1,1985,{'4 ROOM': 91.0},1.37067353047523,103.870263924296,Kovan MRT,1.984,Hougang 1,1.167
103 SPOTTISWOODE PK RD,BUKIT MERAH,1,1979,{'5 ROOM': 118.0},1.27466096925721,103.835279824837,Outram Park MRT,0.816,100 AM,0.911
103 TAMPINES ST 11,TAMPINES,1,1982,"{'3 ROOM': 75.0, '4 ROOM': 104.0}",1.34769662535556,103.946229920882,Tampines MRT,0.635,Tampines Mall,0.563
103 TECK WHYE LANE,CHOA CHU KANG,0,1989,"{'4 ROOM': 106.0, '5 ROOM': 121.0}",1.37713078246274,103.753555993761,Bukit Panjang MRT,0.89,Junction 10,0.817
103 TOWNER RD,KALLANG/WHAMPOA,1,1983,"{'4 ROOM': 109.0, '5 ROOM': 138.0}",1.32064381512285,103.861634081148,Boon Keng MRT,0.091,Aperia Mall,1.117
103 WOODLANDS ST 13,WOODLANDS,0,1985,"{'3 ROOM': 67.0, '4 ROOM': 92.0}",1.4366212320968,103.78097673981,Woodlands MRT,0.566,Causeway Point,0.528
103 YISHUN RING RD,YISHUN,0,1985,{'3 ROOM': 67.0},1.43136934951878,103.828892847163,Yishun MRT,0.712,Northpoint City,0.875
103A BIDADARI PK DR,TOA PAYOH,1,2021,{'4 ROOM': 93.0},1.33560960429896,103.871727597314,Woodleigh MRT,0.477,The Woodleigh Mall,0.347
103A CANBERRA ST,SEMBAWANG,0,2020,"{'2 ROOM': 38.0, '3 ROOM': 69.0, '4 ROOM': 93.0}",1.45103006132424,103.830534008712,Canberra MRT,0.889,Sun Plaza,1.266
103A DEPOT RD,BUKIT MERAH,1,2002,{'4 ROOM': 90.0},1.28070197642689,103.813353428682,Redhill MRT,1.062,Anchorpoint,1.278
103A EDGEFIELD PLAINS,PUNGGOL,0,2003,{'5 ROOM': 110.0},1.39825531783982,103.904753996381,Punggol MRT,0.76,Rivervale Mall,0.674
103B BIDADARI PK DR,TOA PAYOH,1,2021,"{'3 ROOM': 68.0, '4 ROOM': 93.0}",1.33508945420373,103.871337279805,Potong Pasir MRT,0.467,The Woodleigh Mall,0.407
103B CANBERRA ST,SEMBAWANG,0,2020,"{'2 ROOM': 38.0, '3 ROOM': 69.0, '4 ROOM': 93.0}",1.45056599465441,103.831238741555,Canberra MRT,0.85,Sun Plaza,1.331
103B DEPOT RD,BUKIT MERAH,1,2002,"{'4 ROOM': 100.0, '5 ROOM': 115.0}",1.28073692384594,103.813135678562,Redhill MRT,1.067,Anchorpoint,1.258
103B EDGEFIELD PLAINS,PUNGGOL,0,2003,{'5 ROOM': 110.0},1.39773127538403,103.90468537415,Punggol MRT,0.812,Rivervale Mall,0.616
103C EDGEFIELD PLAINS,PUNGGOL,0,2003,{'5 ROOM': 110.0},1.39726660845387,103.90453836308,Punggol MRT,0.855,Rivervale Mall,0.564
104 ALJUNIED CRES,GEYLANG,1,1978,{'4 ROOM': 92.0},1.32006886595229,103.882818111651,Aljunied MRT,0.404,Paya Lebar Square,1.094
104 BEDOK NTH AVE 4,BEDOK,1,1977,"{'3 ROOM': 67.0, '4 ROOM': 91.0}",1.3332985212474,103.936601473643,Bedok Reservoir MRT,0.609,East Village,1.081
104 BEDOK RESERVOIR RD,BEDOK,1,1985,{'5 ROOM': 121.0},1.32924536652386,103.909923721507,Kaki Bukit MRT,0.657,Singpost Centre,2.022
104 BISHAN ST 12,BISHAN,1,1985,"{'3 ROOM': 64.0, '4 ROOM': 84.0}",1.3456750211197,103.84803290576,Bishan MRT,0.635,Junction 8,0.541
104 BT BATOK CTRL,BUKIT BATOK,0,1985,{'4 ROOM': 104.0},1.34899500255547,103.747258218606,Bukit Batok MRT,0.257,West Mall,0.25
104 BT PURMEI RD,BUKIT MERAH,1,1984,"{'3 ROOM': 75.0, '4 ROOM': 105.0}",1.27239853587858,103.825625504182,HarbourFront MRT,0.969,VivoCity,0.974
104 CLEMENTI ST 14,CLEMENTI,1,1984,{'EXECUTIVE': 147.0},1.32294968512724,103.769189152266,Clementi MRT,0.978,The Clementi Mall,1.041
