Address,Town,Mature,Lease Commence Date,Floor Area Map,Lat,Long,Nearest_MRT,Distance_to_MRT,Nearest_Mall,Distance_to_Mall
186A BEDOK NTH ST 4,BEDOK,1,2018,"{'4 ROOM': 93.0, '5 ROOM': 113.0}",1.32991427421905,103.940310513079,Tanah Merah MRT,0.737,East Village,0.687
186A RIVERVALE DR,SENGKANG,0,2001,"{'4 ROOM': 91.0, '5 ROOM': 110.0}",1.39300977764145,103.905649478832,Sengkang MRT,1.139,Rivervale Mall,0.159
186B BEDOK NTH ST 4,BEDOK,1,2018,"{'3 ROOM': 68.0, '4 ROOM': 93.0}",1.33003736213542,103.940842245677,Tanah Merah MRT,0.689,East Village,0.626
186B RIVERVALE DR,SENGKANG,0,2001,"{'4 ROOM': 90.0, '5 ROOM': 110.0}",1.39280009752535,103.905610062045,Sengkang MRT,1.132,Rivervale Mall,0.143
186C RIVERVALE DR,SENGKANG,0,2001,"{'4 ROOM': 90.0, '5 ROOM': 110.0}",1.39286345501083,103.905070419158,Sengkang MRT,1.073,Rivervale Mall,0.1
186D RIVERVALE DR,SENGKANG,0,2001,"{'4 ROOM': 91.0, '5 ROOM': 109.0}",1.3934293161425,103.905442121703,Sengkang MRT,1.124,Rivervale Mall,0.174
187 BISHAN ST 13,BISHAN,1,1987,{'EXECUTIVE': 146.0},1.34955094936358,103.851544031278,Bishan MRT,0.232,Junction 8,0.326
187 BOON LAY AVE,JURONG WEST,0,1978,{'3 ROOM': 59.0},1.34505773588933,103.710699802755,Boon Lay MRT,0.883,Jurong Point,0.767
187 BT BATOK WEST AVE 6,BUKIT BATOK,0,1989,"{'4 ROOM': 105.0, '5 ROOM': 121.0}",1.34651344118157,103.744614358938,Bukit Batok MRT,0.618,West Mall,0.648
187 PASIR RIS ST 11,PASIR RIS,1,1993,{'5 ROOM': 124.0},1.36478562221786,103.959292475911,Tampines East MRT,1.087,White Sands,0.198
187 PUNGGOL CTRL,PUNGGOL,0,2004,"{'5 ROOM': 110.0, 'EXECUTIVE': 128.0}",1.39875203407677,103.910880669271,Punggol MRT,1.172,Rivervale Mall,1.019
187A BEDOK NTH ST 4,BEDOK,1,2018,"{'4 ROOM': 93.0, '5 ROOM': 113.0}",1.33087094745916,103.940210775064,Tanah Merah MRT,0.796,East Village,0.673
187A RIVERVALE DR,SENGKANG,0,2000,"{'4 ROOM': 91.0, '5 ROOM': 110.0}",1.39380392749097,103.905810274661,Sengkang MRT,1.172,Rivervale Mall,0.232
187B BEDOK NTH ST 4,BEDOK,1,2018,"{'4 ROOM': 93.0, '5 ROOM': 113.0}",1.33038146607469,103.940088401203,Tanah Merah MRT,0.781,East Village,0.697
187B RIVERVALE DR,SENGKANG,0,2000,"{'4 ROOM': 91.0, '5 ROOM': 110.0}",1.39429790657459,103.90584757628,Sengkang MRT,1.188,Rivervale Mall,0.279
188 BISHAN ST 13,BISHAN,1,1988,"{'3 ROOM': 64.0, '4 ROOM': 84.0}",1.34992208546794,103.851754115787,Bishan MRT,0.225,Junction 8,0.339
188 BOON LAY DR,JURONG WEST,0,1978,{'2 ROOM': 44.0},1.34381009067475,103.710990466041,Boon Lay MRT,0.797,Jurong Point,0.681
188 BT BATOK WEST AVE 6,BUKIT BATOK,0,1997,"{'4 ROOM': 101.0, '5 ROOM': 121.0}",1.34600053317682,103.745834636253,Bukit Batok MRT,0.535,West Mall,0.59
188 PASIR RIS ST 12,PASIR RIS,1,1993,"{'4 ROOM': 104.0, '5 ROOM': 122.0}",1.36529812070636,103.959160173062,Tampines East MRT,1.131,White Sands,0.193
188 PUNGGOL CTRL,PUNGGOL,0,2004,"{'5 ROOM': 110.0, 'EXECUTIVE': 128.0}",1.39893869186338,103.910538480996,Punggol MRT,1.129,Rivervale Mall,1.008
188A BEDOK NTH ST 4,BEDOK,1,2018,"{'3 ROOM': 68.0, '4 ROOM': 93.0}",1.33163353101368,103.941371320775,Tanah Merah MRT,0.742,East Village,0.537
188A RIVERVALE DR,SENGKANG,0,2000,"{'4 ROOM': 96.0, '5 ROOM': 115.0}",1.39428260901923,103.905324978488,Sengkang MRT,1.131,Rivervale Mall,0.25
188B BEDOK NTH ST 4,BEDOK,1,2018,"{'3 ROOM': 68.0, '4 ROOM': 93.0}",1.33196249675669,103.941467643694,Tanah Merah MRT,0.759,East Village,0.527
188B RIVERVALE DR,SENGKANG,0,2000,"{'4 ROOM': 96.0, '5 ROOM': 115.0}",1.39454068651965,103.905458975406,Sengkang MRT,1.153,Rivervale Mall,0.283
188C BEDOK NTH ST 4,BEDOK,1,2020,"{'3 ROOM': 68.0, '4 ROOM': 93.0}",1.33180346002147,103.940785939953,Tanah Merah MRT,0.804,East Village,0.602
188C RIVERVALE DR,SENGKANG,0,2000,"{'4 ROOM': 96.0, '5 ROOM': 115.0}",1.39522162663414,103.904808624541,Punggol MRT,1.081,Rivervale Mall,0.338
188D BEDOK NTH ST 4,BEDOK,1,2020,"{'3 ROOM': 68.0, '4 ROOM': 93.0}",1.33168420406758,103.940493118435,Tanah Merah MRT,0.821,East Village,0.635
188D RIVERVALE DR,SENGKANG,0,2000,"{'4 ROOM': 95.0, '5 ROOM': 115.0}",1.3949529972221,103.904008558369,Sengkang MRT,1.014,Rivervale Mall,0.311
189 BISHAN ST 13,BISHAN,1,1988,"{'3 ROOM': 64.0, '4 ROOM': 83.0}",1.35022254582522,103.851833543469,Bishan MRT,0.216,Junction 8,0.343
189 BT BATOK WEST AVE 6,BUKIT BATOK,0,1997,"{'4 ROOM': 100.0, '5 ROOM': 118.0}",1.34579573207282,103.746340146543,Bukit Batok MRT,0.508,West Mall,0.575
189 PASIR RIS ST 12,PASIR RIS,1,1993,{'5 ROOM': 126.0},1.36558937083908,103.959037047449,Tampines East MRT,1.154,White Sands,0.203
189A RIVERVALE DR,SENGKANG,0,2000,{'EXECUTIVE': 131.0},1.39556120814367,103.904021658575,Punggol MRT,1.022,Rivervale Mall,0.377
189B RIVERVALE DR,SENGKANG,0,2000,{'EXECUTIVE': 131.0},1.3957956866724,103.903630293443,Punggol MRT,0.988,Rivervale Mall,0.411
189C RIVERVALE DR,SENGKANG,0,2000,{'EXECUTIVE': 131.0},1.39540188419358,103.903397561036,Sengkang MRT,0.971,Rivervale Mall,0.376
18A CIRCUIT RD,GEYLANG,1,2016,"{'3 ROOM': 67.0, '4 ROOM': 93.0}",1.32932082372457,103.888071748726,MacPherson MRT,0.35,Paya Lebar Square,1.271
18A HOLLAND DR,QUEENSTOWN,1,2012,"{'3 ROOM': 67.0, '4 ROOM': 92.0}",1.31105861060205,103.791886571185,Holland Village MRT,0.519,The Star Vista,0.596
18B CIRCUIT RD,GEYLANG,1,2016,"{'3 ROOM': 67.0, '4 ROOM': 93.0}",1.32918105126141,103.888248441219,MacPherson MRT,0.326,Paya Lebar Square,1.249
18B HOLLAND DR,QUEENSTOWN,1,2012,"{'3 ROOM': 67.0, '4 ROOM': 87.0}",1.31101768983656,103.791451916991,Buona Vista MRT,0.541,The Star Vista,0.562
18C CIRCUIT RD,GEYLANG,1,2016,"{'3 ROOM': 67.0, '4 ROOM': 93.0}",1.3292969092972,103.888792588332,MacPherson MRT,0.305,Paya Lebar Square,1.239
18C HOLLAND DR,QUEENSTOWN,1,2012,"{'4 ROOM': 92.0, '5 ROOM': 117.0}",1.31031629242811,103.791738859624,Buona Vista MRT,0.475,The Star Vista,0.524
18D CIRCUIT RD,GEYLANG,1,2016,"{'3 ROOM': 67.0, '4 ROOM': 93.0}",1.32940434763773,103.889196979567,MacPherson MRT,0.299,Paya Lebar Square,1.236
18D HOLLAND DR,QUEENSTOWN,1,2012,"{'4 ROOM': 92.0, '5 ROOM': 117.0}",1.30998398427407,103.792601366744,Buona Vista MRT,0.482,The Star Vista,0.573
19 BALAM RD,GEYLANG,1,1967,{'3 ROOM': 60.3},1.33142362640009,103.887410301919,Tai Seng MRT,0.427,Paya Lebar Square,1.515
19 BEDOK STH RD,BEDOK,1,1976,{'5 ROOM': 117.0},1.31975664729808,103.93427433992,Bedok MRT,0.669,Bedok Mall,0.786
